Equipment Name,Type,Flowrate,Pressure,Temperature
Pump-1,Pump,120,5.6,60
Pump-2,Pump,135,6.2,65
Pump-3,Pump,115,5.1,58
Reactor-1,Reactor,200,15.2,180
Reactor-2,Reactor,195,14.8,175
Reactor-3,Reactor,210,15.9,185
Valve-1,Valve,80,3.1,40
Valve-2,Valve,85,3.4,42
Valve-3,Valve,78,2.9,38
Valve-4,Valve,82,3.2,41
Heat-Exchanger-1,Heat Exchanger,150,8.5,120
Heat-Exchanger-2,Heat Exchanger,145,8.2,118
Compressor-1,Compressor,100,12.3,95
Compressor-2,Compressor,105,12.8,98
Mixer-1,Mixer,90,4.5,55
Mixer-2,Mixer,88,4.3,53
Tank-1,Tank,0,1.0,25
Tank-2,Tank,0,1.0,25
Heater-1,Heater,75,5.5,200
Heater-2,Heater,78,5.7,205
